Productnaam;Productnummer;Inkoopprijs ;Verkoopprijs ex btw;Verkoopprijs in btw;Marge;
Fusion Round chroom;21.085.05; € 322,85 ; € 495,87 ; € 600,00 ; € 173,02 ;
Fusion Round gold;21.085.09; € 806,32 ; € 1.239,67 ; € 1.500,00 ; € 433,35 ;
Fusion Round black;21.084.01; € 510,86 ; € 785,12 ; € 950,00 ; € 274,26 ;
Fusion Square chroom;21.084.05; € 322,85 ; € 495,87 ; € 600,00 ; € 173,02 ;
Fusion Square gold;21.084.09; € 806,32 ; € 1.239,67 ; € 1.500,00 ; € 433,35 ;
Fusion Square zwart;21.161.01; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Classic Fusion Round chroom;21.162.01; € 430,29 ; € 661,16 ; € 800,00 ; € 230,87 ;
Classic Fusion Square chroom;21.085.20; € 430,29 ; € 661,16 ; € 800,00 ; € 230,87 ;
Fusion Round gun metal;21.085.21; € 510,86 ; € 785,12 ; € 950,00 ; € 274,26 ;
Fusion Round rosé koper;21.084.20; € 510,86 ; € 785,12 ; € 950,00 ; € 274,26 ;
Fusion Square gun metal;21.084.21; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Fusion Square rosé koper;21.084.21; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Front zwart;21.045.01; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Nordic Round chroom;21.048.01; € 215,41 ; € 330,58 ; € 400,00 ; € 115,17 ;
Nordic Square chroom;21.153.01; € 215,42 ; € 330,58 ; € 400,00 ; € 115,16 ;
Classic Nordic Round chroom;21.159.01; € 322,86 ; € 495,87 ; € 600,00 ; € 173,01 ;
Classic Nordic Square chroom;21.045.04; € 322,86 ; € 495,87 ; € 600,00 ; € 173,01 ;
Nordic Round RVS;21.048.04; € 295,99 ; € 454,55 ; € 550,00 ; € 158,56 ;
Nordic Square RVS;21.055.01; € 295,99 ; € 454,55 ; € 550,00 ; € 158,56 ;
Mengkraan Nordic Square chroom;21.055.04; € 136,98 ; € 210,74 ; € 255,00 ; € 73,76 ;
Mengkraan Nordic Square RVS;21.056.01; € 188,02 ; € 289,26 ; € 350,00 ; € 101,24 ;
Mengkraan Nordic Round CHR;21.056.04; € 136,98 ; € 210,74 ; € 255,00 ; € 73,76 ;
Mengkraan Nordic Round RVS;21.084.04; € 188,02 ; € 289,26 ; € 350,00 ; € 101,24 ;
Fusion Square RVS;21.084.04; € 403,43 ; € 619,83 ; € 750,00 ; € 216,40 ;
Fusion Square PTB;21.084.07; € 564,59 ; € 867,77 ; € 1.050,00 ; € 303,18 ;
Fusion Round RVS;21.085.04; € 403,43 ; € 619,83 ; € 750,00 ; € 216,40 ;
Fusion Round PTB;21.085.07; € 564,59 ; € 867,77 ; € 1.050,00 ; € 303,18 ;
Classic Nordic Round RVS;21.153.04; € 403,43 ; € 619,83 ; € 750,00 ; € 216,40 ;
Classic Nordic Square RVS;21.159.04; € 403,43 ; € 619,83 ; € 750,00 ; € 216,40 ;
Classic Fusion Round RVS;21.161.04; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Classic Fusion Round messing patina;21.161.07; € 672,02 ; € 1.033,06 ; € 1.250,00 ; € 361,04 ;
Classic Fusion Square RVS;21.162.04; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Classic Fusion Square messing patina;21.162.07; € 672,02 ; € 1.033,06 ; € 1.250,00 ; € 361,04 ;
Front RVS;21.197.04; € 403,43 ; € 619,83 ; € 750,00 ; € 216,40 ;
Front gun metal;21.197.20; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Front rosé koper;21.197.21; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Flex Round chroom;21.209.04; € 322,85 ; € 495,87 ; € 600,00 ; € 173,02 ;
Flex Round RVS;21.209.09; € 403,43 ; € 619,83 ; € 750,00 ; € 216,40 ;
Flex Round BLK;21.209.20; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Flex Round gun metal;21.209.21; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Flex Round rosé koper;21.210.01; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Flex Square chroom;21.210.04; € 322,85 ; € 495,87 ; € 600,00 ; € 173,02 ;
Flex Square RVS;21.210.09; € 403,43 ; € 619,83 ; € 750,00 ; € 216,40 ;
Flex Square zwart;21.210.20; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Flex Square gun metal;21.210.21; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
Flex Square rosé koper;20.379.00; € 510,87 ; € 785,12 ; € 950,00 ; € 274,25 ;
