Productnaam;Productnummer;Inkoopprijs ;Verkoopprijs ex btw;Verkoopprijs in btw;Marge;
PRO3 EQ B NL;11.217.00; € 372,81 ; € 573,55 ; € 695,00 ; € 200,74 ;
COMBI B NL;11.218.00; € 533,97 ; € 821,49 ; € 995,00 ; € 287,52 ;
COMBI+ B NL;51.094.00; € 533,97 ; € 821,49 ; € 995,00 ; € 287,52 ;
Set van 4 CO2 flessen;51.173.00; € 35,78 ; € 55,05 ; € 67,00 ; € 19,27 ;
CUBE filter cartridge;51.093.00; € 42,98 ; € 66,12 ; € 80,00 ; € 23,14 ;
HF filter Cube;51.004.01; € 32,23 ; € 49,58 ; € 60,00 ; € 17,35 ;
Zeeppomp Nordic chroom;51.004.05; € 107,44 ; € 165,29 ; € 200,00 ; € 57,85 ;
Zeeppomp Nordic gold;51.004.09; € 212,19 ; € 326,45 ; € 395,00 ; € 114,26 ;
Zeeppomp Nordic zwart;51.004.20; € 185,33 ; € 285,12 ; € 345,00 ; € 99,79 ;
Zeeppomp Nordic gun metal;51.004.21; € 185,33 ; € 285,12 ; € 345,00 ; € 99,79 ;
Zeeppomp Nordic rose koper;31.253.00; € 185,33 ; € 285,12 ; € 345,00 ; € 99,79 ;
Energieverdeler CUBE EU;31.253.00; € 53,72 ; € 82,65 ; € 150,00 ; € 28,93 ;
Ophangbeugel PRO3 3L;31.044.00; € 53,72 ; € 82,65 ; € 100,00 ; € 28,93 ;
Ophangbeugel Combi(+) 7L;51.004.04; € 53,72 ; € 82,65 ; € 100,00 ; € 28,93 ;
Zeeppomp Nordic RVS;51.004.07; € 134,30 ; € 206,62 ; € 250,00 ; € 72,32 ;
Zeeppomp Nordic messing patina;51.172.00; € 196,07 ; € 301,65 ; € 365,00 ; € 105,58 ;
CUBE filter incl. aansluitset;51.187.00; € 53,72 ; € 82,65 ; € 100,00 ; € 28,93 ;
Appendage kit CO2 3kg CB;51.187.00; € 83,27 ; € 128,11 ; € 155,00 ; € 44,84 ;
